TENANT,SOH,ENCODE,IDENTIFY,LOOKUP,SEARCHANDPICK,INVENTORY,UPDATE_INVENTORY,RECEIVING,SHIPPING,PACKING,API_CALLS,XML_PROCESS,RECEIVING_TAGMANAGMENT,SENDING_TAGMANAGMENT,PREMISE_AUTO_CREATION,ENCODE_SUPPLYCHAIN,INSPECTING,REASON
CENT,PASSED,PASSED,N /A,N /A,N /A,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,""
CELINE,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,
CHIP,PASSED,PASSED,FAILED,PASSED,PASSED,PASSED,PASSED,FAILED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,"Bad products chosen by automation - Receiving
500 error - Identify"
FALA,PASSED,PASSED,FAILED,N /A,N /A,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,500 error - Identify
FALACO,PASSED,PASSED,FAILED,N /A,N /A,PASSED,PASSED,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,500 error - Identify
FALAPE,PASSED,PASSED,FAILED,N /A,N /A,PASSED,PASSED,FAILED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,500 error - Identify
FISIA,PASSED,PASSED,FAILED,N /A,N /A,PASSED,PASSED,FAILED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,500 error - Identify
IVONNE,PASSED,PASSED,FAILED,N /A,N /A,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,500 error - Identify
OECHSLE,PASSED,PASSED,FAILED,N /A,N /A,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,500 error - Identify
PEI,PASSED,PASSED,FAILED,N /A,N /A,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,500 error - Identify
PERN,PASSED,PASSED,FAILED,FAILED,PASSED,PASSED,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,"500 error - Identify
500 error - Lookup"
STUDIOF,PASSED,PASSED,PASSED,N /A,N /A,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,
TORRA,PASSED,PASSED,FAILED,N /A,N /A,PASSED,PASSED,FAILED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,500 error - Identify
TOSCA,N /A,N /A,N /A,N /A,N /A,N /A,N /A,PASSED,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,
TRR,PASSED,PASSED,FAILED,PASSED,N /A,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,500 error - Identify
PANVEL,PASSED,PASSED,PASSED,PASSED,N /A,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,
SAVILLEROW,PASSED,PASSED,PASSED,PASSED,N /A,FAILED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,Inventory Operation doesn't work
